Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Perimeter,AspectRatio,Circularity,MeanR,MeanG,MeanB,StdR,StdG,StdB,Classe
79,13.8935498416595,8.64920969939408,0.782592608589688,0.797979797979798,40.714,1.60633749493122,0.598893239570106,142.645569620253,102.037974683544,73.7974683544304,3.68307972679618,3.15189417194577,4.10559264229886,1
4464,91.4279840184018,62.697137453728,0.72783306872915,0.967071057192374,288.696,1.45824813909372,0.673058040439761,32.7685931899642,31.8747759856631,30.4043458781362,17.6663880711493,17.5231161930446,16.2995235857266,1
4515,89.3451698887109,64.8382301121635,0.688006073355517,0.963097269624573,254.657,1.37797052347285,0.874895900547276,32.6097452934662,31.6033222591362,30.7508305647841,25.1835986319418,24.2228912473798,22.7061748777204,1
5010,98.9152162504925,64.6797612449973,0.756588839131325,0.980238700841323,267.624,1.52930707143176,0.879017405851531,36.9676646706587,35.3175648702595,32.9820359281437,24.5844552622658,23.9783614866201,22.0469488666554,1
4953,96.8604110468471,65.4727957415831,0.736947477786408,0.969845310358332,271.164,1.47939934364723,0.846474985602178,30.2624671916011,28.6830203916818,27.768423177872,18.3354181598763,18.1073822070099,17.1210846342135,1
6504,101.664729598078,82.0032444773467,0.591091300248053,0.9789283564118,301.815,1.23976472206734,0.897240267918963,34.7746002460025,34.4360393603936,32.4795510455105,22.3404299921566,22.1908646794759,21.1572078932618,1
6047,105.625398141271,73.0635891517549,0.722162273937405,0.985174323884001,284.148,1.44566396706689,0.941153855042719,29.3831652058872,27.5991400694559,25.4597320985613,19.2052617382581,18.8388728060388,17.8106329990724,1
13585,186.376888092142,115.716211954,0.783911871172354,0.830785225048924,636.453,1.61063765348827,0.421441045743245,30.2633787265366,29.1324990798675,27.863967611336,20.0544452371993,19.8246128700119,18.5760989608156,1
6293,109.346989579766,73.655524280503,0.739101163274028,0.972042014210689,308.654,1.48457282258068,0.830087313827573,32.2321627204831,31.7498808199587,30.2563165421897,20.2919325218495,19.9813895947,19.1259068211668,1
4658,101.087633753717,58.8016601872718,0.81341060178304,0.980425173647653,257.848,1.71912890608485,0.880403608507038,26.5489480463718,26.3990983254616,25.7610562473164,18.5937280025247,18.3843270781318,17.4627986170201,1
3987,86.5499468798048,58.9586079847071,0.732088940046511,0.97267626250305,235.436,1.46797812631964,0.903879129099286,36.6829696513669,31.8312014045648,30.3260596940055,21.7965739425844,21.915527963456,20.8052284765468,1
5951,108.111125749001,70.6712535190668,0.756761702675806,0.977015268428829,283.329,1.52977512589094,0.93157485312288,30.9442110569652,29.1182994454714,28.0705763737187,20.5032626142046,19.9530992819754,18.5330790247687,1
6419,111.597916337715,73.520684778304,0.75231830079356,0.977016742770167,313.202,1.51791181861581,0.822296016543202,28.6921638884561,26.9415796853092,27.0375447889079,20.4555462647426,20.5090525368323,19.2113272251778,1
4385,86.8442099759156,64.9783867117218,0.663453142580644,0.973579040852576,238.828,1.33650917436904,0.966070850383573,33.6467502850627,31.6043329532497,29.9076396807298,22.3424319321383,21.236140379752,19.2371484856564,1
6137,104.012443801835,75.5232347008911,0.687591152311281,0.975210551406325,299.077,1.37722442919421,0.86218399373897,26.8888707837706,25.9877790451361,25.7099560045625,21.4706760466764,20.8918728834825,19.7608737650185,1
